id;name;category;thickness_mm;price;edgePrice;image;discount;status;description;pros;care;supplier;supplierUrl;datasheetUrl;Column1;_1;_2;_3;id_4
adamina-20-mm-kompositsten;adamina (20 mm);kvarts/komposit;20;4255.0;;/materials/Adamina.jpg;-0.1;available;adamina (rå) är en kvarts med enkel ytbehandling i supernatural-kollektionen. den påminner om gyllengula dyner eller vindslipad sandsten.;;;;;;;;;;
airy-concrete-20-mm-kompositsten;airy concrete (20 mm);kvarts/komposit;20;4255.0;;/materials/Airy_Concrete.jpg;-0.1;available;airy concrete (rå) är en ljusgrå kvarts i metropolitan-kollektionen som till färgen påminner om cement. på håll ser den ut som en brädriven betongyta. en grov och kornig rå-finish ger ett utseende som påminner om borstad stenyta (b-borstad).;;;;;;;;;;
alpine-mist-20-mm-kompositsten;alpine mist (20 mm);kvarts/komposit;20;4255.0;;/materials/Alpine_Mist.jpg;-0.1;available;alpine mist är en kvartssten i supernatural-kollektionen. den svala dimgrå bakgrunden kompletteras med ljusa linjer som är tunna och skarpa samt även med mörkare beigefärgade fläckar.;;;;;;;;;;
alpine-mist-30-mm-kompositsten;alpine mist (30 mm);kvarts/komposit;30;5957.0;;/materials/Alpine_Mist.jpg;-0.1;available;alpine mist är en kvartssten i supernatural-kollektionen. den svala dimgrå bakgrunden kompletteras med ljusa linjer som är tunna och skarpa samt även med mörkare beigefärgade fläckar.;;;;;;;;;;
ambiente-light-20-mm-kompositsten;ambiente light (20 mm);kvarts/komposit;20;3996.0;;/materials/Ambiente_Light.jpg;-0.1;available;kompositstenskivor i ambiente light material är starka, hållbara och extremt hygienisk! den grå färgen ger köket en modern och lugn bakgrund och förhöjer alla andra föremåls djärvare färger.;;;;;;;;;;
ambiente-light-30-mm-kompositsten;ambiente light (30 mm);kvarts/komposit;30;5594.0;;/materials/Ambiente_Light.jpg;-0.1;available;kompositstenskivor i ambiente light material är starka, hållbara och extremt hygienisk! den grå färgen ger köket en modern och lugn bakgrund och förhöjer alla andra föremåls djärvare färger.;;;;;;;;;;
antique-brown-20-mm-granit;antique brown (20 mm);granit;20;2678.0;;/materials/Antique_Brown.jpg;-0.1;available;"mörk brun/svart bakgrund med metalliskt skimrande fläckar; medium korn.";;;;;;;;;;
antique-brown-30-mm-granit;antique brown (30 mm);granit;30;3749.0;;/materials/Antique_Brown.jpg;-0.1;available;"mörk brun/svart bakgrund med metalliskt skimrande fläckar; medium korn.";;;;;;;;;;
atlas-cream-prestige-silk-12-mm-keramik;atlas cream prestige silk (12 mm);keramik;12;2236.0;;/materials/Atlas_Cream_Prestige_Silk.jpg;-0.1;available;atlas cream prestige silk är en keramisk skiva i stort format som till utseendet liknar marmor.;;;;;;;;;;
atlas-fior-di-bosco-12-mm-keramik;atlas fior di bosco (12 mm);keramik;12;2333.0;;/materials/Atlas_Fior_Di_Bosco.jpg;-0.1;available;atlas fior di bosco är ett grått, marmorliknande material med gyllene ådror – perfekt för att skapa en unik och stilren miljö.;;;;;;;;;;
atlas-nero-marquina-12-mm-keramik;atlas nero marquina (12 mm);keramik;12;2441.0;;/materials/Atlas_Nero_Marquina.jpg;-0.1;available;atlas nero marquina är en svart, marmorliknande stenkeramik med vita ådror – perfekt för att skapa en lyxig och exklusiv känsla.;;;;;;;;;;
atlas-sky-stone-12-mm-keramik;atlas sky stone (12 mm);keramik;12;2441.0;;/materials/Atlas_Sky_Stone.jpg;-0.1;available;atlas plan sky stone hämtar inspiration från skönheten hos brasiliansk kvartsit, med mjuka gråa toner och en svagt ljusblå skiftning.;;;;;;;;;;
azul-valverde-20-mm-kalksten;azul valverde (20 mm);kalksten;20;1620.0;;/materials/Azul_Valverde.jpg;-0.1;available;azul valverde, även känd som blå kalksten från gascogne, är en fascinerande natursten från området valverde-alcanede i portugal.;;;;;;;;;;
azul-valverde-30-mm-kalksten;azul valverde (30 mm);kalksten;30;2268.0;;/materials/Azul_Valverde.jpg;-0.1;available;azul valverde, även känd som blå kalksten från gascogne, är en fascinerande natursten från området valverde-alcanede i portugal.;;;;;;;;;;
azur-creme-20-mm-kompositsten;azur creme (20 mm);kvarts/komposit;20;1760.0;;/materials/Azur_Creme.jpg;-0.1;available;gräddvit kvartssten med subtila beige ådringar, marmorinspirerad.;;;;;;;;;;
belvedere-20-mm-granit;belvedere (20 mm);granit;20;3704.0;;/materials/Belvedere.jpg;-0.1;available;belvedere är svart afrikansk granit med svart bakgrund och vita-brun linjer. h (matt) – polerad, 20 och 30 mm.;;;;;;;;;;
belvedere-30-mm-granit;belvedere (30 mm);granit;30;5186.0;;/materials/Belvedere.jpg;-0.1;available;belvedere är svart afrikansk granit med svart bakgrund och vita-brun linjer. h (matt) – polerad, 20 och 30 mm.;;;;;;;;;;
bianco-carrara-c-20-mm-marmor;bianco carrara c (20 mm);marmor;20;3078.0;;/materials/Bianco_Carrara_C.jpg;-0.1;available;bianco carrara c är ett världens mest kända marmor. carraramarmor har stått för elegans sedan antiken och har inte sjunkit i popularitet i dag heller.;;;;;;;;;;
bianco-carrara-c-30-mm-marmor;bianco carrara c (30 mm);marmor;30;4309.0;;/materials/Bianco_Carrara_C.jpg;-0.1;available;bianco carrara c är ett världens mest kända marmor. carraramarmor har stått för elegans sedan antiken och har inte sjunkit i popularitet i dag heller.;;;;;;;;;;
bianco-drift-20-mm-kompositsten;bianco drift (20 mm);kvarts/komposit;20;4255.0;;/materials/Bianco_Drift.jpg;-0.1;available;bianco drift har hämtat inspiration från stenar i kollektionen supernatural. den har en ljusgrå bakgrund som pryds av mörk- och ljusgrå men även beige och vita fläckar och ådror.;;;;;;;;;;
bianco-drift-30-mm-kompositsten;bianco drift (30 mm);kvarts/komposit;30;5957.0;;/materials/Bianco_Drift.jpg;-0.1;available;bianco drift har hämtat inspiration från stenar i kollektionen supernatural. den har en ljusgrå bakgrund som pryds av mörk- och ljusgrå men även beige och vita fläckar och ådror.;;;;;;;;;;
bianco-sardo-20-mm-granit;bianco sardo (20 mm);granit;20;1177.0;;/materials/Bianco_Sardo.jpg;-0.1;available;bianco sardo är vit italiensk granit med framträdande lätt gråmelerat mönster. bänkskivor i granit kommer inte bli slitna och tål höga temperaturer. granit är för hushåll som uppskattar något unikt och långvarig skönhet!;;;;;;;;;;
bianco-sardo-30-mm-granit;bianco sardo (30 mm);granit;30;1648.0;;/materials/Bianco_Sardo.jpg;-0.1;available;bianco sardo är vit italiensk granit med framträdande lätt gråmelerat mönster. bänkskivor i granit kommer inte bli slitna och tål höga temperaturer. granit är för hushåll som uppskattar något unikt och långvarig skönhet!;;;;;;;;;;
black-tempal-20-mm-kompositsten;black tempal (20 mm);kvarts/komposit;20;4255.0;;/materials/Black_Tempal.jpg;-0.1;available;black tempal (rå) är en kvartssten med mörkgrå bakgrund. designen har ljusa kalkstensstreck mot en förkolnad yta, likt mineralavlagringar på en bergssida. färgspelet hos kvartsen i metropolitan-kollektionen är som böljande vatten mot en natthimmel.;;;;;;;;;;
blue-in-the-night-20-mm-granit;blue in the night (20 mm);granit;20;2203.0;;/materials/Blue_In_The_Night.jpg;-0.1;available;blue in the night är mörk, dock inte helsvart afrikansk granit med blått skimrande fläckar i mönsterbilden. unikt och långvarig skönhet!;;;;;;;;;;
blue-in-the-night-30-mm-granit;blue in the night (30 mm);granit;30;3084.0;;/materials/Blue_In_The_Night.jpg;-0.1;available;blue in the night är mörk, dock inte helsvart afrikansk granit med blått skimrande fläckar i mönsterbilden. unikt och långvarig skönhet!;;;;;;;;;;
blue-pearl-20-mm-granit;blue pearl (20 mm);granit;20;2516.0;;/materials/Blue_Pearl.jpg;-0.1;available;blue pearl granit ger riktigt vackra bänkskivor med grå och blå huvudfärger samt några svarta inslag.;;;;;;;;;;
blue-pearl-30-mm-granit;blue pearl (30 mm);granit;30;3522.0;;/materials/Blue_Pearl.jpg;-0.1;available;blue pearl granit ger riktigt vackra bänkskivor med grå och blå huvudfärger samt några svarta inslag.;;;;;;;;;;
blue-savoy-20-mm-marmor;blue savoy (20 mm);marmor;20;7204.0;;/materials/Blue_Savoy.jpg;-0.1;available;"blågrå till mörkgrå med tunna vita ådror; fin, kristallin struktur.";;;;;;;;;;
blue-savoy-30-mm-marmor;blue savoy (30 mm);marmor;30;10086.0;;/materials/Blue_Savoy.jpg;-0.1;available;"blågrå till mörkgrå med tunna vita ådror; fin, kristallin struktur.";;;;;;;;;;
bohus-grey-20-mm-granit;bohus grey (20 mm);granit;20;2020.0;;/materials/Bohus_Grey.jpg;-0.1;available;bohus grey är gråbrun kornig granit från sverige. granit är en naturlig sten som bildades för flera miljoner år sedan och utmärker sig genom sin skönhet, styrka och hållbarhet. bänkskivor i granit kommer inte bli slitna och tål höga temperaturer. granit är för hushåll som uppskattar något unikt och långvarig skönhet!;;;;;;;;;;
bohus-grey-30-mm-granit;bohus grey (30 mm);granit;30;2828.0;;/materials/Bohus_Grey.jpg;-0.1;available;bohus grey är gråbrun kornig granit från sverige. granit är en naturlig sten som bildades för flera miljoner år sedan och utmärker sig genom sin skönhet, styrka och hållbarhet. bänkskivor i granit kommer inte bli slitna och tål höga temperaturer. granit är för hushåll som uppskattar något unikt och långvarig skönhet!;;;;;;;;;;
botticino-classico-20-mm-marmor;botticino classico (20 mm);marmor;20;1706.0;;/materials/Botticino_Classico.jpg;-0.1;available;botticino classico är en naturmarmor i varma beigefärgade toner – perfekt för att skapa en tidlös och lyxig atmosfär.;;;;;;;;;;
botticino-classico-30-mm-marmor;botticino classico (30 mm);marmor;30;2388.0;;/materials/Botticino_Classico.jpg;-0.1;available;botticino classico är en naturmarmor i varma beigefärgade toner – perfekt för att skapa en tidlös och lyxig atmosfär.;;;;;;;;;;
breeze-ashen-light-20-mm-kompositsten;breeze ashen light (20 mm);kvarts/komposit;20;2938.0;;/materials/Breeze_Ashen_Light.jpg;-0.1;available;kompositsten breeze ashen light är stark, tålig och icke-porös. detta gör kvartsstenen mycket hygienisk. en bänkskiva i breeze ashen light är ett konstverk!;;;;;;;;;;
breeze-ashen-light-30-mm-kompositsten;breeze ashen light (30 mm);kvarts/komposit;30;4113.0;;/materials/Breeze_Ashen_Light.jpg;-0.1;available;kompositsten breeze ashen light är stark, tålig och icke-porös. detta gör kvartsstenen mycket hygienisk. en bänkskiva i breeze ashen light är ett konstverk!;;;;;;;;;;
bretagne-20-mm-kompositsten;bretagne (20 mm);kvarts/komposit;20;2128.0;;/materials/Bretagne.jpg;-0.1;available;varm grå/beige kvarts med mild, väderbiten/betonglik textur.;;;;;;;;;;
bricmate-azul-olive-12-mm-keramik;bricmate azul olive (12 mm);keramik;12;4277.0;;/materials/Bricmate_Azul_Olive.jpg;-0.1;available;azul olive matt är en keramisk bänkskiva med matt yta, rik variation med fosiliknande och naturliga detaljer.;;;;;;;;;;
